,stock_date,company_name,stock_price
167,2020-12-28,INFY,1240.3
168,2020-12-29,INFY,1250.3
169,2020-12-30,INFY,1246.8
170,2020-12-31,INFY,1255.8
171,2021-01-01,INFY,1260.45
172,2021-01-04,INFY,1288.25
173,2021-01-05,INFY,1293.8
174,2021-01-06,INFY,1282.1
175,2021-01-07,INFY,1262.15
176,2021-01-08,INFY,1312.1
177,2021-01-11,INFY,1376.2
178,2021-01-12,INFY,1371.75
179,2021-01-13,INFY,1387.15
180,2021-01-14,INFY,1370.5
181,2021-01-15,INFY,1344.95
182,2021-01-18,INFY,1312.05
183,2021-01-19,INFY,1316.65
184,2021-01-20,INFY,1339.45
185,2021-01-21,INFY,1339.7
186,2021-01-22,INFY,1340.85
187,2021-01-25,INFY,1325.1
188,2021-01-27,INFY,1301.0
189,2021-01-28,INFY,1276.2
190,2021-01-29,INFY,1239.05
191,2021-02-01,INFY,1260.9
192,2021-02-02,INFY,1271.25
193,2021-02-03,INFY,1284.65
194,2021-02-04,INFY,1279.35
195,2021-02-05,INFY,1272.1
196,2021-02-08,INFY,1303.55
197,2021-02-09,INFY,1305.55
198,2021-02-10,INFY,1296.5
199,2021-02-11,INFY,1292.65
200,2021-02-12,INFY,1309.8
201,2021-02-15,INFY,1309.65
202,2021-02-16,INFY,1290.4
203,2021-02-17,INFY,1281.3
204,2021-02-18,INFY,1292.45
205,2021-02-19,INFY,1291.3
206,2021-02-22,INFY,1265.2
207,2021-02-23,INFY,1266.35
208,2021-02-24,INFY,1274.3
209,2021-02-25,INFY,1274.55
210,2021-02-26,INFY,1253.3
211,2021-03-01,INFY,1267.0
212,2021-03-02,INFY,1304.5
213,2021-03-03,INFY,1343.55
214,2021-03-04,INFY,1330.35
215,2021-03-05,INFY,1316.7
216,2021-03-08,INFY,1335.75
217,2021-03-09,INFY,1345.55
218,2021-03-10,INFY,1368.15
219,2021-03-12,INFY,1374.85
220,2021-03-15,INFY,1373.6
221,2021-03-16,INFY,1384.0
222,2021-03-17,INFY,1387.0
223,2021-03-18,INFY,1337.1
224,2021-03-19,INFY,1344.45
225,2021-03-22,INFY,1370.8
226,2021-03-23,INFY,1371.55
227,2021-03-24,INFY,1353.75
228,2021-03-25,INFY,1333.8
229,2021-03-26,INFY,1336.2
230,2021-03-30,INFY,1385.3
231,2021-03-31,INFY,1368.05
232,2021-04-01,INFY,1385.2
233,2021-04-05,INFY,1409.9
234,2021-04-06,INFY,1411.05
235,2021-04-07,INFY,1430.2
236,2021-04-08,INFY,1439.85
237,2021-04-09,INFY,1441.05
238,2021-04-12,INFY,1425.75
239,2021-04-13,INFY,1397.15
240,2021-04-15,INFY,1360.75
241,2021-04-16,INFY,1353.75
242,2021-04-19,INFY,1362.55
243,2021-04-20,INFY,1351.35
244,2021-04-22,INFY,1351.1
245,2021-04-23,INFY,1333.8
246,2021-04-26,INFY,1343.55
247,2021-04-27,INFY,1348.5
248,2021-04-28,INFY,1356.0
249,2021-04-29,INFY,1356.35
250,2021-04-30,INFY,1354.35
0,2020-04-30,SBIN,190.5
1,2020-05-04,SBIN,178.85
